Feature Set,Dim,TSCV mean,TSCV std,Scaffold,Grouped mean,Grouped std,Temporal
V2-style,78,0.7255621982163933,0.08469798371441711,0.6925250538068335,0.695470699450361,0.026240488327957542,0.7731124838501292
V3,87,0.7137487868729675,0.07683864273817763,0.7237750538068335,0.6822240022374375,0.016633017399039045,0.7760194605943153
MechAware-BW,79,0.6915328781885596,0.1299218179672462,0.7646690879741728,0.7071605214562264,0.02287283196002481,0.7856488210594316
MechAware-Full,151,0.703796770849425,0.12099253474404441,0.7765738498789347,0.7047226895785399,0.02732918154877212,0.7963682978036176
