,PC1,PC2,PC3,abs_PC1
aux_rg_benzyl,0.01526199,-0.1529032,0.07199266,0.01526199
aux_rg_isopropyl,-0.0041559613,-0.029795296,-0.044999406,0.0041559613
aux_rg_phenyl,-0.020911695,0.020139614,0.016320668,0.020911695
aux_rg_tert_butyl,-0.016323367,0.007548577,-0.034378853,0.016323367
aux_rg_methyl,0.06769846,0.034779176,-0.010470378,0.06769846
aux_rg_indanyl,0.0,0.0,-0.0,0.0
aux_rg_other,-0.0133827515,0.02518892,-0.007757215,0.0133827515
aux_oppolzer,-0.010606108,0.1624192,0.048403215,0.010606108
chiralenv_ket_n_stereo_3bond,0.07959031,0.05596577,0.14334081,0.07959031
chiralenv_ket_n_stereo_4bond,0.07526715,0.17403935,0.08197639,0.07526715
chiralenv_ket_n_stereo_5bond,0.04846842,0.2060218,0.07518458,0.04846842
chiralenv_ket_chirality_gradient,0.1237675,0.119736895,-0.017681368,0.1237675
chiralenv_ket_nearest_chiral_sign,0.12799792,0.12162173,-0.014387128,0.12799792
chiralenv_ket_nearest_chiral_dist,-0.097978234,0.0077580074,-0.12357998,0.097978234
chiralenv_ket_alpha_is_chiral,-0.014276672,0.0838479,0.13908185,0.014276672
chiralenv_ket_alpha_chiral_sign,-0.0033559345,0.003329714,0.048576795,0.0033559345
chiralenv_ket_chirality_product_3bond,0.12629937,0.118987195,-0.017300215,0.12629937
chiralenv_ket_nearest_pair_relation,-0.05134853,0.014828769,0.016158333,0.05134853
chiralenv_ket_n_total_stereo,0.04220293,0.22154213,0.10694789,0.04220293
chiralenv_ket_mw,-0.031936534,0.169222,0.11793467,0.031936534
chiralenv_ket_n_heavy,-0.008823335,0.17298265,0.098797254,0.008823335
chiralenv_ket_frac_sp3,-0.010535057,0.115195766,0.019599937,0.010535057
chiralenv_ket_aux_ring_size,0.07093311,-0.055498272,0.11839528,0.07093311
chiralenv_ald_n_stereo,0.14339332,-0.04964772,0.11467193,0.14339332
chiralenv_ald_chirality_sum,-0.017279867,-0.0098517155,-0.006001221,0.017279867
chiralenv_ald_chirality_product,-0.030069754,-0.004942162,-0.008529917,0.030069754
chiralenv_ald_mw,0.18128301,-0.08033945,0.12235683,0.18128301
chiralenv_ald_n_heavy,0.17925724,-0.08164456,0.12215617,0.17925724
chiralenv_ald_frac_sp3,0.113040134,0.0012406787,0.07140589,0.113040134
ald_pri_is_aromatic,-0.0900066,0.012507984,-0.05784011,0.0900066
ald_pri_alpha_branching,0.038177244,0.00038979383,-0.025766196,0.038177244
ald_pri_max_atomic_num,0.013729441,-0.011856175,0.0029400436,0.013729441
ald_pri_has_halogen,-0.007377869,-0.0025343408,-0.009647115,0.007377869
ald_pri_has_heteroatom,0.14763263,-0.064549886,0.07228273,0.14763263
ald_pri_n_rings,0.07874874,-0.051129125,0.056337275,0.07874874
ald_pri_chain_length,0.18243077,-0.086422116,0.11074244,0.18243077
ald_pri_priority_proxy,0.038576692,-0.0036689935,-0.02181216,0.038576692
