class,class_id,feature,mean_abs_shap
RR (0),0,chiralenv_ket_mw,0.011903735
RR (0),0,chiralenv_ket_n_heavy,0.012826035
RR (0),0,chiralenv_ket_frac_sp3,0.004295679
RR (0),0,chiralenv_ket_aux_ring_size,0.0022690047
RR (0),0,chiralenv_ald_n_stereo,0.008773712
RR (0),0,chiralenv_ald_chirality_sum,0.0028001387
RR (0),0,chiralenv_ald_chirality_product,0.0029960014
RR (0),0,chiralenv_ald_mw,0.03714854
RR (0),0,chiralenv_ald_n_heavy,0.010881372
RR (0),0,chiralenv_ald_frac_sp3,0.02019175
RR (0),0,ald_pri_is_aromatic,0.008479651
RR (0),0,ald_pri_alpha_branching,0.087492354
RR (0),0,ald_pri_max_atomic_num,0.06901115
RR (0),0,ald_pri_has_halogen,0.0039469707
RR (0),0,ald_pri_has_heteroatom,0.013735386
RR (0),0,ald_pri_n_rings,0.0045794076
RR (0),0,ald_pri_chain_length,0.042613495
RR (0),0,ald_pri_priority_proxy,0.20997587
RR (0),0,delta_chiral_0,0.10624734
RR (0),0,delta_chiral_1,0.020130282
RR (0),0,delta_chiral_2,0.008858625
RR (0),0,delta_chiral_3,0.006126907
RR (0),0,delta_chiral_4,0.0069125486
RR (0),0,delta_chiral_5,0.0047947057
RR (0),0,delta_chiral_6,0.016930848
RR (0),0,delta_chiral_7,0.010529154
RR (0),0,delta_chiral_8,0.009856327
RR (0),0,delta_chiral_9,0.016341055
RR (0),0,delta_chiral_10,0.012454793
RR (0),0,delta_chiral_11,0.038083214
RR (0),0,delta_chiral_12,0.03479827
RR (0),0,delta_chiral_13,0.011056536
RR (0),0,delta_chiral_14,0.010247611
RR (0),0,delta_chiral_15,0.011586607
RR (0),0,chiral_det_mean,0.02962313
RR (0),0,chiral_det_max,0.005821468
RR (0),0,chiral_det_abs_sum,0.06505296
RS (1),1,B1_mean,0.0037955903
RS (1),1,B1_std,0.004246463
RS (1),1,B5_mean,0.001992374
RS (1),1,B5_std,0.010729744
RS (1),1,L_mean,0.0041155876
RS (1),1,L_std,0.0039766063
RS (1),1,Vbur_diff_mean,0.027883679
RS (1),1,Vbur_diff_std,0.006949733
RS (1),1,Vbur_re_mean,0.013973935
RS (1),1,Vbur_re_std,0.009797039
RS (1),1,Vbur_si_mean,0.054522768
RS (1),1,Vbur_si_std,0.0056027565
RS (1),1,Vbur_total_mean,0.08640737
RS (1),1,Vbur_total_std,0.0038270596
RS (1),1,cos_tau1_mean,0.00598817
RS (1),1,cos_tau1_std,0.04999987
RS (1),1,cos_tau2_mean,0.019539539
RS (1),1,cos_tau2_std,0.004438898
RS (1),1,sin_tau1_mean,0.0045249173
RS (1),1,sin_tau1_std,0.013691599
RS (1),1,sin_tau2_mean,0.016908614
RS (1),1,sin_tau2_std,0.0029655918
RS (1),1,n_conformers,0.0007435289
RS (1),1,n_clusters,0.00051585067
RS (1),1,ald_L_mean,0.009076396
RS (1),1,ald_L_std,0.007835523
RS (1),1,ald_B1_mean,0.07374675
RS (1),1,ald_B1_std,0.008510048
RS (1),1,ald_B5_mean,0.013625104
RS (1),1,ald_B5_std,0.016656097
RS (1),1,ald_Vbur_total_mean,0.047547825
RS (1),1,ald_Vbur_total_std,0.020782951
RS (1),1,ald_n_conformers,0.020751996
RS (1),1,ald_n_clusters,0.018275842
RS (1),1,feat_DIPEA,0.007309363
RS (1),1,feat_Et3N,0.0010632267
RS (1),1,feat_LiHMDS,0.0
RS (1),1,feat_NaHMDS,0.0
RS (1),1,feat_LDA,0.0
RS (1),1,feat_KHMDS,0.0
RS (1),1,feat_other_base,0.0003925098
