class,class_id,feature,mean_abs_shap
SS (3),3,chiralenv_ket_frac_sp3,0.02266745
SS (3),3,chiralenv_ket_aux_ring_size,0.0022986592
SS (3),3,chiralenv_ald_n_stereo,0.005230395
SS (3),3,chiralenv_ald_chirality_sum,0.018438227
SS (3),3,chiralenv_ald_chirality_product,0.019440625
SS (3),3,chiralenv_ald_mw,0.03479855
SS (3),3,chiralenv_ald_n_heavy,0.03667956
SS (3),3,chiralenv_ald_frac_sp3,0.097891964
SS (3),3,ald_pri_is_aromatic,0.036727436
SS (3),3,ald_pri_alpha_branching,0.067393735
SS (3),3,ald_pri_max_atomic_num,0.06268568
SS (3),3,ald_pri_has_halogen,0.002081567
SS (3),3,ald_pri_has_heteroatom,0.0021038589
SS (3),3,ald_pri_n_rings,0.0030571497
SS (3),3,ald_pri_chain_length,0.011077459
SS (3),3,ald_pri_priority_proxy,0.14696395
SS (3),3,delta_chiral_0,0.0319267
SS (3),3,delta_chiral_1,0.014538181
SS (3),3,delta_chiral_2,0.009749158
SS (3),3,delta_chiral_3,0.006890271
SS (3),3,delta_chiral_4,0.0118899075
SS (3),3,delta_chiral_5,0.007394307
SS (3),3,delta_chiral_6,0.008116416
SS (3),3,delta_chiral_7,0.011514768
SS (3),3,delta_chiral_8,0.00855493
SS (3),3,delta_chiral_9,0.013981298
SS (3),3,delta_chiral_10,0.010539822
SS (3),3,delta_chiral_11,0.008181356
SS (3),3,delta_chiral_12,0.079746835
SS (3),3,delta_chiral_13,0.0078522805
SS (3),3,delta_chiral_14,0.010895869
SS (3),3,delta_chiral_15,0.019184962
SS (3),3,chiral_det_mean,0.011547015
SS (3),3,chiral_det_max,0.010985817
SS (3),3,chiral_det_abs_sum,0.022299718
