number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
40,0.6207330412438754,2026-05-28 11:39:49.897462,2026-05-28 11:39:56.166743,0 days 00:00:06.269281,15.0,log2,4,20,950,COMPLETE
41,0.6411328917614867,2026-05-28 11:39:56.167149,2026-05-28 11:40:01.336923,0 days 00:00:05.169774,10.0,0.3,1,15,750,COMPLETE
42,0.6387279803688882,2026-05-28 11:40:01.337352,2026-05-28 11:40:05.939677,0 days 00:00:04.602325,15.0,0.5,1,18,600,COMPLETE
43,0.6417519445733707,2026-05-28 11:40:05.940138,2026-05-28 11:40:14.133388,0 days 00:00:08.193250,30.0,1.0,2,14,850,COMPLETE
44,0.634463266985728,2026-05-28 11:40:14.133975,2026-05-28 11:40:19.228948,0 days 00:00:05.094973,50.0,log2,1,16,750,COMPLETE
45,0.6293293845591275,2026-05-28 11:40:19.229339,2026-05-28 11:40:22.797675,0 days 00:00:03.568336,20.0,0.3,2,14,500,COMPLETE
46,0.623889398056678,2026-05-28 11:40:22.798169,2026-05-28 11:40:28.399703,0 days 00:00:05.601534,,0.7,3,17,700,COMPLETE
47,0.6419415439373818,2026-05-28 11:40:28.400182,2026-05-28 11:40:34.864788,0 days 00:00:06.464606,30.0,sqrt,1,12,950,COMPLETE
48,0.5902714386388237,2026-05-28 11:40:34.865365,2026-05-28 11:40:41.157335,0 days 00:00:06.291970,15.0,0.7,10,15,800,COMPLETE
49,0.6355322760779524,2026-05-28 11:40:41.157940,2026-05-28 11:40:49.302386,0 days 00:00:08.144446,50.0,1.0,2,19,850,COMPLETE
50,0.6211114639549529,2026-05-28 11:40:49.302923,2026-05-28 11:40:55.628069,0 days 00:00:06.325146,10.0,0.3,3,13,900,COMPLETE
51,0.6505780958206591,2026-05-28 11:40:55.628539,2026-05-28 11:41:01.984297,0 days 00:00:06.355758,50.0,0.7,1,15,750,COMPLETE
52,0.6515362414634294,2026-05-28 11:41:01.984796,2026-05-28 11:41:10.505854,0 days 00:00:08.521058,50.0,0.7,1,14,750,COMPLETE
