number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
173,0.6559950540915453,2026-05-28 11:50:43.460569,2026-05-28 11:50:47.349217,0 days 00:00:03.888648,20.0,0.3,1,13,600,COMPLETE
174,0.6389973062819841,2026-05-28 11:50:47.349612,2026-05-28 11:50:52.677206,0 days 00:00:05.327594,20.0,1.0,1,14,600,COMPLETE
175,0.6090275054928005,2026-05-28 11:50:52.677591,2026-05-28 11:50:55.795315,0 days 00:00:03.117724,20.0,0.3,8,13,500,COMPLETE
176,0.650908402893843,2026-05-28 11:50:55.795693,2026-05-28 11:50:59.755941,0 days 00:00:03.960248,20.0,0.3,1,12,600,COMPLETE
177,0.6506310089779656,2026-05-28 11:50:59.756423,2026-05-28 11:51:03.759223,0 days 00:00:04.002800,20.0,0.3,1,14,600,COMPLETE
178,0.6564446219121516,2026-05-28 11:51:03.759663,2026-05-28 11:51:08.097184,0 days 00:00:04.337521,20.0,0.3,1,13,650,COMPLETE
179,0.6383532506724684,2026-05-28 11:51:08.097572,2026-05-28 11:51:12.047277,0 days 00:00:03.949705,20.0,0.3,2,13,600,COMPLETE
180,0.6447194310820602,2026-05-28 11:51:12.047858,2026-05-28 11:51:16.081134,0 days 00:00:04.033276,,0.5,1,12,550,COMPLETE
181,0.6564446219121516,2026-05-28 11:51:16.081902,2026-05-28 11:51:20.395172,0 days 00:00:04.313270,20.0,0.3,1,13,650,COMPLETE
182,0.6564446219121516,2026-05-28 11:51:20.395635,2026-05-28 11:51:24.828579,0 days 00:00:04.432944,20.0,0.3,1,13,650,COMPLETE
183,0.6528126115233731,2026-05-28 11:51:24.829055,2026-05-28 11:51:29.266723,0 days 00:00:04.437668,20.0,0.3,1,14,650,COMPLETE
184,0.6564446219121516,2026-05-28 11:51:29.267236,2026-05-28 11:51:33.744691,0 days 00:00:04.477455,20.0,0.3,1,13,650,COMPLETE
185,0.6564446219121516,2026-05-28 11:51:33.745237,2026-05-28 11:51:38.021884,0 days 00:00:04.276647,20.0,0.3,1,13,650,COMPLETE
186,0.6564446219121516,2026-05-28 11:51:38.022359,2026-05-28 11:51:42.420017,0 days 00:00:04.397658,20.0,0.3,1,13,650,COMPLETE
187,0.6505149925381332,2026-05-28 11:51:42.420501,2026-05-28 11:51:46.684431,0 days 00:00:04.263930,15.0,0.3,1,14,650,COMPLETE
188,0.6559950540915453,2026-05-28 11:51:46.684888,2026-05-28 11:51:50.606677,0 days 00:00:03.921789,20.0,0.3,1,13,600,COMPLETE
189,0.6509963780250247,2026-05-28 11:51:50.607087,2026-05-28 11:51:54.501188,0 days 00:00:03.894101,50.0,0.3,1,12,600,COMPLETE
190,0.654195516305675,2026-05-28 11:51:54.501565,2026-05-28 11:51:58.113035,0 days 00:00:03.611470,20.0,0.3,1,13,550,COMPLETE
191,0.6564446219121516,2026-05-28 11:51:58.113692,2026-05-28 11:52:02.474811,0 days 00:00:04.361119,20.0,0.3,1,13,650,COMPLETE
192,0.6564446219121516,2026-05-28 11:52:02.475328,2026-05-28 11:52:06.631950,0 days 00:00:04.156622,20.0,0.3,1,13,650,COMPLETE
193,0.6559950540915453,2026-05-28 11:52:06.632445,2026-05-28 11:52:10.477030,0 days 00:00:03.844585,20.0,0.3,1,13,600,COMPLETE
194,0.6559950540915453,2026-05-28 11:52:10.477495,2026-05-28 11:52:14.494874,0 days 00:00:04.017379,20.0,0.3,1,13,600,COMPLETE
195,0.6559950540915453,2026-05-28 11:52:14.495353,2026-05-28 11:52:18.605164,0 days 00:00:04.109811,20.0,0.3,1,13,600,COMPLETE
196,0.6526408959725342,2026-05-28 11:52:18.605536,2026-05-28 11:52:23.121620,0 days 00:00:04.516084,20.0,0.3,1,12,650,COMPLETE
197,0.6355696123019351,2026-05-28 11:52:23.122149,2026-05-28 11:52:27.285345,0 days 00:00:04.163196,20.0,log2,1,13,650,COMPLETE
198,0.6455452880503544,2026-05-28 11:52:27.285983,2026-05-28 11:52:31.030616,0 days 00:00:03.744633,20.0,sqrt,1,14,600,COMPLETE
199,0.654195516305675,2026-05-28 11:52:31.031203,2026-05-28 11:52:34.537606,0 days 00:00:03.506403,20.0,0.3,1,13,550,COMPLETE
